id_avis,date,note_avis,commentaire,id_resto,nom_resto,type_cuisine,fourchette_prix,adresse,note_moyenne_resto,description,arrondissement,latitude,longitude,taux_menage_imposable,mediane_niveau_de_vie,taux_pauvrete,min_prix,max_prix
46,févr. 2020,3.0,avis précédent peu trop dur prendre menu jour € passer très bon moment obtenir remise carte centre commercial seul remarqu salad vert très copieux trop assaisonnement,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
47,févr. 2020,4.0,délicieuse crêpe très beau choix enfant adulte restaurer bonder valoir coup attendre,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
48,janv. 2020,3.0,prendre thé gourmand simple bon crêpe petit pancake bon salad fruit frais cependant chantilly super bon serveur sympathique,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
49,janv. 2020,1.0,repas très décevant crêpe jour sec car réchauffer découvrir trop tard message écrire ardoise poulet halal sans avoir prévenir serveur inadmissible imposer client choix religieux pays laïque crêpe sucrer enfouir sou épaisse couch nuteller réparer écœurer finir soirer indigestion plus jamais,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
50,janv. 2020,1.0,deux placer place serveur peine crêpe finie Monsieur devoir sûremer être manager employer assez sec demander installer laisser place autre client attendre prendre table deux idée accord employer manquer vraiment professionnalisme après avoir humilier sort décider partir remettron plus pied bas merci serveur témoin ce échange excuse ce homme devoir vraiment revoir manière exprimer échanger surtout client fatiguer travailler énerver travail client pâtir,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
51,janv. 2020,1.0,rien voir crêperie fast food galette nom plus approprié plus gèle restaurant,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
52,janv. 2020,3.0,premier repas ce crêperie service rapide plus jambon croire plus fromage raclett plus caramel beurr salé crêpe bon sans plus,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
53,janv. 2020,1.0,attente seulement crêpe nuteller min avoir oublier nuteller accueil nulle chaleureux,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
54,nov. 2019,2.0,dire tout objectivité galette plutôt bon comprendre crêpe leur garniture bien fournir service très rapide efficace cependant serveur peu sympathique peine arrive certain dire bonjour autre regarder plus choquer faire employé plaindre juste devant propos leur tenir autre client soirée travailler restauration hôtellerie cruel manqu professionnalisme crêperie aucun sourire aucun amabilité crêpe presque jeter table aucun courtoisie tel point mal aise dommage,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
55,nov. 2019,5.0,tout choix crêpe galett sans gluten bon savoir allergique cas allergie hésiter signaler serveur faire nécessaire plus ample renseignement téléphoner,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
