,Date,Notes,Commentaires
76,févr. 2022,"4,0","Très belle découverte. A tout les amateurs de viande et de bon gras. Je recommande fortement. 
Les prix sont un peut élevés mais la qualité est présente. On reviendra"
77,févr. 2022,"5,0","Très bonne adresse, grand choix de vins, cadre chaleureux.
Nous avons pris un faux filet de 800g pour 2 (80€).
Bon rapport qualité/prix."
78,sept. 2021,"2,0","Restaurant qui n’est pas à la hauteur des attentes au vu des prix de la carte. 22€ pour UNE coquille St Jacques avec 2 St Jacques qui se courent après .. 1kg de viande à 150€/kg avec 300g d’os et 200g de gras… on a pris du porc qui n’était pas cuit du tout. 
Nous étions venu une première fois et avions payé 12€ les deux os à moelle, et la deuxième fois 12€ l’os à moelle!
Gustativement c’est très bon. Mais le rapport qualité/prix n’y est pas. De plus nous sommes entassés les uns sur les autres. 
Également le restaurant est mal équipé : 1seul toilette par exemple donc souvent la queue.
Très décevant au vu de la note. Nous ne reviendrons plus."
79,nov. 2021,"3,0","Un cadre très agréable, chaleureux et confortable.
Un personnel aux petits soins, dont un très bon sommelier.
Malgré cela, le rapport qualité prix est déplorable, une tranche de pâte en croûte à 14€, une pièce de viande de 1,2kg (dont 400g d'os) à 120€. Malgré que ce soit très bon et raffiné, tout cela ne mérite pas son prix et on reste sur notre faim, le vin quant à lui est excellent.
En terme, l'image diffusée de bons vivants, avec orgie de plats, assez rustiques, est l'opposée de la réalité proposée en restaurant. En effet, les plats sont raffinés, peu copieux, mais surtout très chers.
C'était une expérience toutefois agréable, mais que je ne conseillerais pas. "
80,nov. 2021,"2,0","Après avoir testé le Gueuleton de Sarlat, nous étions impatients de voir cette belle enseigne débarquer à Lyon ! Malheureusement la magie n’était pas au rdv : on sent tout de suite que l’esprit grande ville prend le dessus sur le concept initial. L’accueil n’est pas aussi chaleureux, les prix sont exorbitants, bref on reste sur sa faim."
81,oct. 2021,"2,0","Accueil pas terrible, surprise il n'y a pas de menu et le choix est restreint
Pour déjeuner, c'est côte de bœuf ou côte de bœuf 
de ce côté là il y a du choix et de la qualité mais à un tarif exorbitant comme pour les vins. 
Nous pensions ripailler en se faisant plaisir avec quelques bouteilles mais le tarif nous à laissé pantois 
une fois le repas fini ils étaient pressé que l'on s'en aille
on est bien loin de l'image qu'ils donnent sur leurs vidéos..."
82,déc. 2021,"2,0","Prix exorbitant qui n'est pas justifié, rapport qualité-prix déplorable.
On est sur des prix de resto étoilé si on veut faire entrer plan dessert, vin.
Ils surf sur la web série .
Le personnel quant à lui est très sympathique.

"
83,nov. 2021,"5,0","Gueuleton entre amis. 
Le restaurant porte bien son nom. 
Nous avons passé un super moment  
Serveur et sommelier à l’écoute."
84,nov. 2021,"5,0","Après plus d’un mois d’avance sur la réservation suite à la forte influence de ce restaurant,nous voilà arrivés le jour J.
Repas entre amis pour un anniversaire, nous avons tous passés un super moment.
Le personnel était très accueillant et à l’écoute tout au long du repas.
C’était parfait de l’apéritif jusqu’au digestif.
Je recommande vivement ce restaurant d’une part pour la qualité des produits proposés et pour le service ou nous n’avons rien à redire.
Mention spéciale pour Titouan, jeune sommelier du restaurant qui nous a fait découvrir et fait partager son métier avec passion et gentillesse."
85,oct. 2021,"3,0","Rien à dire sur la cuisine, les entrées à partager et les pièces de viandes étaient très bien. Le tout est accompagné d'une belle carte de vins et d'un cadre chaleureux. 
Quel dommage que l'expérience soit anéantie par le non respect des consignes sanitaires par le staff. Les masques ne servaient que décorer les mentons dans les meilleurs des cas et le passe sanitaire n'était pas exigée."
