,Date,Notes,Commentaires
78,mai 2022,"5,0","repas du déjeuner avec les ""interludes"" à ne pas rater (en réalité une 2eme petite entrée et un pré dessert).
suite à légère intolérance signalée lors de la réservation sur leur site, le chef a téléphoné pour plus de précisions et a concocté une entrée adaptée : LA CLASSE.
excellent repas tout en finesse.

merci pour cet excellent moment et les attentions."
79,avr. 2022,"5,0","Super expérience, découverte de saveurs surprenantes, personnel accueillant, cadre agréable, excellent rapport qualité/prix "
80,juil. 2021,"5,0",Super restaurant fait en famille. Service et cuisine ont été au delà de nos espérances ! Manque légèrement de chaleur dans la décoration à la rigueur… On recommande x100
81,avr. 2022,"5,0","Du goût dans les assiettes, une très belle présentation , un bon rapport qualité-prix, et un super accueil; BRAVO !"
82,févr. 2022,"5,0","J’ai découvert ce restaurant en étant en déplacement à Lyon pour le travail et j’en garde un excellent souvenir.
 
J’ai prit le menu Agastache et tout était excellent de l’entrée au dessert. J’ai adoré les entractes entre chaque plats, les produits, le lieu tout y est raffiné. Le service était à la hauteur de l’établissement, aucune fausse note. 

Le restaurant est très intimiste et le menu très abordable, bravo je suis ravie d’avoir découvert ce restaurant et le recommande vivement ! Continuez ainsi à faire honneur à ce merveilleux métier et régaler nos papilles :)"
83,mars 2022,"5,0","Restaurant recommande par des amis..eh bah ils se sont pas trompés. 
Super cuisine, plats saveurs et délicats. personnel serviable et très compétent.
A refaire sûrement "
84,mars 2022,"5,0",je conaissais pas cet établissement à ma grandre surprise je l'ai découvert par une conaissance et j'en suis satisfait il fait une cuisine variée et rafinée 
85,févr. 2022,"5,0","Juste parfait
De l’amuse bouche au dessert de magnifiques découvertes, de belles assiettes. 
Nous n’avons rien laissé. 
Une excellente surprise avec l’entremet végétal au choux-fleurs. 

Mes papilles s’en souviennent encore.

Un immense bravo à toute l’équipe du service et de la cuisine.
Un des meilleurs restaurants de Lyon.

Foncez!"
86,févr. 2022,"5,0","Ambiance feutrée, accueil chaleureux.
Cuisine créative, pleine de saveurs, présentation recherchée.
C'était une découverte sur les conseils de notre fils, nous ferons une très large publicité pour cette équipe d'un cuisinier et d'un serveur qui nous ont éblouis par leur professionnalisme.
UNE ADRESSE A RECOMMANDER."
87,févr. 2022,"5,0","Quelle belle découverte !!

Réservation pour le mardi 8 février 2022 au soir (attention, réservation une bonne semaine à l'avance est nécessaire).

Le restaurant est bien décoré, l'ambiance y est chaleureuse avec un fond musical sympathique.

L'accueil comme l'intégralité du service étaient au top. Le service est très réactif, les plats bien expliqués et le serveur était aux petits soins sans jamais rentrer dans le côté ""bling-bling"" ou ""chichi"" de certaines tables.

Dans l'assiette, que de belles surprises au niveau des textures et des saveurs, de la mise en bouche jusqu'au désert. 
Le prix des menus est plus que raisonnable par rapport à la qualité et à la créativité des plats ; d'autant plus que l'eau plate et gazeuse filtrées sont comprises dans le menu. 

La carte des vins est de qualité et les prix sont très mesurés. Les bières sont locales et très bonnes également.

En conclusion, une très belle soirée et une adresse à retenir, BRAVO et surtout à bientôt !!"
